	entity	entity_id	n_properties	pattern_type	sentence	speaker	speaker_id	to_resolve	frequency	combination_type	combination_id
57	Ross Geller	335	2	np	This ex-boyfriend of Janice Litman Goralnik is a paleontologist.	average	---	(1, 1)	---	attributes & relations	Ross_Geller_26
58	Ross Geller	335	2	np	This paleontologist is an ex-boyfriend of Janice Litman Goralnik.	average	---	(1, 1)	---	attributes & relations	Ross_Geller_26
59	Ross Geller	335	2	my	My ex-boyfriend is a paleontologist.	Janice Litman Goralnik	168	(1, 1)	---	attributes & relations	Ross_Geller_26
60	Ross Geller	335	2	person	This person is an ex-boyfriend of Janice Litman Goralnik and a paleontologist.	average	---	(1, 1)	---	attributes & relations	Ross_Geller_26
61	Ross Geller	335	2	person	This person is a paleontologist and an ex-boyfriend of Janice Litman Goralnik.	average	---	(1, 1)	---	attributes & relations	Ross_Geller_26
62	Ross Geller	335	2	I	I am an ex-boyfriend of Janice Litman Goralnik and a paleontologist.	Ross Geller	335	(0, 0)	---	attributes & relations	Ross_Geller_26
63	Ross Geller	335	2	I	I am a paleontologist and an ex-boyfriend of Janice Litman Goralnik.	Ross Geller	335	(0, 0)	---	attributes & relations	Ross_Geller_26
64	Ross Geller	335	1	person	This person is the ex-boyfriend of Julie.	average	---	(1, 1)	---	relations	Ross_Geller_27
65	Ross Geller	335	1	I	I am the ex-boyfriend of Julie.	Ross Geller	335	(0, 0)	---	relations	Ross_Geller_27
66	Ross Geller	335	1	person	This person is the ex-boyfriend of Jill Green.	average	---	(1, 1)	---	relations	Ross_Geller_28
67	Ross Geller	335	1	I	I am the ex-boyfriend of Jill Green.	Ross Geller	335	(0, 0)	---	relations	Ross_Geller_28
68	Ross Geller	335	1	person	This person is the son of Jack Geller.	average	---	(1, 1)	---	relations	Ross_Geller_29
69	Ross Geller	335	1	I	I am the son of Jack Geller.	Ross Geller	335	(0, 0)	---	relations	Ross_Geller_29
70	Ross Geller	335	1	person	This person is the son of Judy Geller.	average	---	(1, 1)	---	relations	Ross_Geller_30
71	Ross Geller	335	1	I	I am the son of Judy Geller.	Ross Geller	335	(0, 0)	---	relations	Ross_Geller_30
72	Ross Geller	335	1	person	This person is the ex-husband of Carol Willick.	average	---	(1, 1)	---	relations	Ross_Geller_31
73	Ross Geller	335	1	I	I am the ex-husband of Carol Willick.	Ross Geller	335	(0, 0)	---	relations	Ross_Geller_31
74	Ross Geller	335	1	person	This person is the father of Ben Geller.	average	---	(1, 1)	---	relations	Ross_Geller_32
75	Ross Geller	335	1	I	I am the father of Ben Geller.	Ross Geller	335	(0, 0)	---	relations	Ross_Geller_32
76	Ross Geller	335	1	person	This person is the ex-husband of Carol Willick.	average	---	(1, 1)	---	relations	Ross_Geller_33
77	Ross Geller	335	1	I	I am the ex-husband of Carol Willick.	Ross Geller	335	(0, 0)	---	relations	Ross_Geller_33
78	Ross Geller	335	1	person	This person is the husband of Rachel Green.	average	---	(1, 1)	---	relations	Ross_Geller_34
79	Ross Geller	335	1	I	I am the husband of Rachel Green.	Ross Geller	335	(0, 0)	---	relations	Ross_Geller_34
80	Ross Geller	335	1	person	This person is the brother of Monica Geller-Bing.	average	---	(1, 1)	---	relations	Ross_Geller_35
81	Ross Geller	335	1	I	I am the brother of Monica Geller-Bing.	Ross Geller	335	(0, 0)	---	relations	Ross_Geller_35
82	Ross Geller	335	1	person	This person is the nephew of Aunt Sylvia.	average	---	(1, 1)	---	relations	Ross_Geller_36
83	Ross Geller	335	1	I	I am the nephew of Aunt Sylvia.	Ross Geller	335	(0, 0)	---	relations	Ross_Geller_36
84	Ross Geller	335	1	person	This person is the nephew of Aunt Lillian.	average	---	(1, 1)	---	relations	Ross_Geller_37
85	Ross Geller	335	1	I	I am the nephew of Aunt Lillian.	Ross Geller	335	(0, 0)	---	relations	Ross_Geller_37
86	Ross Geller	335	1	person	This person is the brother-in-law of Jill Green.	average	---	(1, 1)	---	relations	Ross_Geller_38
87	Ross Geller	335	1	I	I am the brother-in-law of Jill Green.	Ross Geller	335	(0, 0)	---	relations	Ross_Geller_38
88	Ross Geller	335	1	person	This person is the brother-in-law of Chandler Bing.	average	---	(1, 1)	---	relations	Ross_Geller_39
89	Ross Geller	335	1	I	I am the brother-in-law of Chandler Bing.	Ross Geller	335	(0, 0)	---	relations	Ross_Geller_39
90	Ross Geller	335	1	person	This person is the grandson of Althea.	average	---	(1, 1)	---	relations	Ross_Geller_40
91	Ross Geller	335	1	I	I am the grandson of Althea.	Ross Geller	335	(0, 0)	---	relations	Ross_Geller_40
92	Ross Geller	335	1	person	This person is the son-in-law of Sandra Green.	average	---	(1, 1)	---	relations	Ross_Geller_41
93	Ross Geller	335	1	I	I am the son-in-law of Sandra Green.	Ross Geller	335	(0, 0)	---	relations	Ross_Geller_41
94	Ross Geller	335	1	person	This person is the son-in-law of Leonard Green.	average	---	(1, 1)	---	relations	Ross_Geller_42
95	Ross Geller	335	1	I	I am the son-in-law of Leonard Green.	Ross Geller	335	(0, 0)	---	relations	Ross_Geller_42
96	Julie	197	1	person	This person is the girlfriend of Russ.	average	---	(1, 1)	---	relations	Julie_43
97	Julie	197	1	I	I am the girlfriend of Russ.	Julie	197	(0, 0)	---	relations	Julie_43
98	Julie	197	2	np	This woman is a paleontologist.	average	---	(1, 1)	---	attributes	Julie_44
99	Julie	197	2	np	This paleontologist is a woman.	average	---	(1, 1)	---	attributes	Julie_44
100	Julie	197	2	he_she	She is a paleontologist.	average	---	(0, 0)	---	attributes	Julie_44
101	Julie	197	2	person	This person is a woman and a paleontologist.	average	---	(1, 1)	---	attributes	Julie_44
102	Julie	197	2	person	This person is a paleontologist and a woman.	average	---	(1, 1)	---	attributes	Julie_44
103	Julie	197	2	I	I am a woman and a paleontologist.	Julie	197	(0, 0)	---	attributes	Julie_44
104	Julie	197	2	I	I am a paleontologist and a woman.	Julie	197	(0, 0)	---	attributes	Julie_44
105	Russ	338	1	person	This person is a periodontist.	average	---	(1, 1)	---	attributes	Russ_45
106	Russ	338	1	I	I am a periodontist.	Russ	338	(0, 0)	---	attributes	Russ_45
107	Russ	338	1	person	This person is the boyfriend of Julie.	average	---	(1, 1)	---	relations	Russ_46
108	Russ	338	1	I	I am the boyfriend of Julie.	Russ	338	(0, 0)	---	relations	Russ_46
109	Marcel	230	1	person	This person is the previous pet monkey of Ross Geller.	average	---	(1, 1)	---	relations	Marcel_47
110	Marcel	230	1	I	I am the previous pet monkey of Ross Geller.	Marcel	230	(0, 0)	---	relations	Marcel_47
111	Marcel	230	1	person	This person is a pet.	average	---	(1, 1)	---	attributes	Marcel_48
112	Marcel	230	1	I	I am a pet.	Marcel	230	(0, 0)	---	attributes	Marcel_48
113	Joey Tribbiani Sr.	184	1	person	This person is the affair of Ronni Rapalono.	average	---	(1, 1)	---	relations	Joey_Tribbiani_Sr._49
114	Joey Tribbiani Sr.	184	1	I	I am the affair of Ronni Rapalono.	Joey Tribbiani Sr.	184	(0, 0)	---	relations	Joey_Tribbiani_Sr._49
115	Joey Tribbiani Sr.	184	1	person	This person is the father of Joey Tribbiani Jr..	average	---	(1, 1)	---	relations	Joey_Tribbiani_Sr._50
116	Joey Tribbiani Sr.	184	1	I	I am the father of Joey Tribbiani Jr..	Joey Tribbiani Sr.	184	(0, 0)	---	relations	Joey_Tribbiani_Sr._50
117	Joey Tribbiani Sr.	184	1	person	This person is the husband of Gloria Tribbiani.	average	---	(1, 1)	---	relations	Joey_Tribbiani_Sr._51
118	Joey Tribbiani Sr.	184	1	I	I am the husband of Gloria Tribbiani.	Joey Tribbiani Sr.	184	(0, 0)	---	relations	Joey_Tribbiani_Sr._51
119	Ronni Rapalono	332	1	person	This person is a pet mortician.	average	---	(1, 1)	---	attributes	Ronni_Rapalono_52
120	Ronni Rapalono	332	1	I	I am a pet mortician.	Ronni Rapalono	332	(0, 0)	---	attributes	Ronni_Rapalono_52
121	Ronni Rapalono	332	1	person	This person is the mistress of Joey Tribbiani Sr..	average	---	(1, 1)	---	relations	Ronni_Rapalono_53
122	Ronni Rapalono	332	1	I	I am the mistress of Joey Tribbiani Sr..	Ronni Rapalono	332	(0, 0)	---	relations	Ronni_Rapalono_53
123	Roger	329	1	person	This person is a psychiatrist.	average	---	(1, 1)	---	attributes	Roger_54
124	Roger	329	1	I	I am a psychiatrist.	Roger	329	(0, 0)	---	attributes	Roger_54
125	Richard Burke	318	1	person	This person is an ophthalmologist.	average	---	(1, 1)	---	attributes	Richard_Burke_55
126	Richard Burke	318	1	I	I am an ophthalmologist.	Richard Burke	318	(0, 0)	---	attributes	Richard_Burke_55
127	Richard Burke	318	1	person	This person is the ex-boyfriend of Monica Geller-Bing.	average	---	(1, 1)	---	relations	Richard_Burke_56
128	Richard Burke	318	1	I	I am the ex-boyfriend of Monica Geller-Bing.	Richard Burke	318	(0, 0)	---	relations	Richard_Burke_56
129	Richard Burke	318	1	person	This person is the ex-husband of Barbara Burke.	average	---	(1, 1)	---	relations	Richard_Burke_57
130	Richard Burke	318	1	I	I am the ex-husband of Barbara Burke.	Richard Burke	318	(0, 0)	---	relations	Richard_Burke_57
131	Ben Geller	30	1	person	This person is the stepson of Susan Bunch.	average	---	(1, 1)	---	relations	Ben_Geller_58
132	Ben Geller	30	1	I	I am the stepson of Susan Bunch.	Ben Geller	30	(0, 0)	---	relations	Ben_Geller_58
133	Ben Geller	30	1	person	This person is the stepson of Rachel Green.	average	---	(1, 1)	---	relations	Ben_Geller_59
134	Ben Geller	30	1	I	I am the stepson of Rachel Green.	Ben Geller	30	(0, 0)	---	relations	Ben_Geller_59
135	Ben Geller	30	1	person	This person is the step-grandson of Leonard Green.	average	---	(1, 1)	---	relations	Ben_Geller_60
136	Ben Geller	30	1	I	I am the step-grandson of Leonard Green.	Ben Geller	30	(0, 0)	---	relations	Ben_Geller_60
137	Ben Geller	30	1	person	This person is the step-grandson of Sandra Green.	average	---	(1, 1)	---	relations	Ben_Geller_61
138	Ben Geller	30	1	I	I am the step-grandson of Sandra Green.	Ben Geller	30	(0, 0)	---	relations	Ben_Geller_61
139	Ben Geller	30	1	person	This person is the step-nephew of Jill Green.	average	---	(1, 1)	---	relations	Ben_Geller_62
140	Ben Geller	30	1	I	I am the step-nephew of Jill Green.	Ben Geller	30	(0, 0)	---	relations	Ben_Geller_62
141	Ben Geller	30	1	person	This person is the nephew/godson of Chandler Bing.	average	---	(1, 1)	---	relations	Ben_Geller_63
142	Ben Geller	30	1	I	I am the nephew/godson of Chandler Bing.	Ben Geller	30	(0, 0)	---	relations	Ben_Geller_63
143	Ben Geller	30	1	person	This person is the son of Ross Geller.	average	---	(1, 1)	---	relations	Ben_Geller_64
144	Ben Geller	30	1	I	I am the son of Ross Geller.	Ben Geller	30	(0, 0)	---	relations	Ben_Geller_64
145	Ben Geller	30	1	person	This person is the son of Carol Willick.	average	---	(1, 1)	---	relations	Ben_Geller_65
146	Ben Geller	30	1	I	I am the son of Carol Willick.	Ben Geller	30	(0, 0)	---	relations	Ben_Geller_65
147	Ben Geller	30	1	person	This person is the great nephew of Aunt Lillian.	average	---	(1, 1)	---	relations	Ben_Geller_66
148	Ben Geller	30	1	I	I am the great nephew of Aunt Lillian.	Ben Geller	30	(0, 0)	---	relations	Ben_Geller_66
149	Ben Geller	30	1	person	This person is the nephew of Monica Geller-Bing.	average	---	(1, 1)	---	relations	Ben_Geller_67
150	Ben Geller	30	1	I	I am the nephew of Monica Geller-Bing.	Ben Geller	30	(0, 0)	---	relations	Ben_Geller_67
151	Ben Geller	30	1	person	This person is the great-grandson of Althea.	average	---	(1, 1)	---	relations	Ben_Geller_68
152	Ben Geller	30	1	I	I am the great-grandson of Althea.	Ben Geller	30	(0, 0)	---	relations	Ben_Geller_68
153	Ben Geller	30	1	person	This person is the grandson of Jack Geller.	average	---	(1, 1)	---	relations	Ben_Geller_69
154	Ben Geller	30	1	I	I am the grandson of Jack Geller.	Ben Geller	30	(0, 0)	---	relations	Ben_Geller_69
155	Ben Geller	30	1	person	This person is the grandson of Judy Geller.	average	---	(1, 1)	---	relations	Ben_Geller_70
156	Ben Geller	30	1	I	I am the grandson of Judy Geller.	Ben Geller	30	(0, 0)	---	relations	Ben_Geller_70
157	Duncan	105	1	person	This person is the ex-stepson-in-law of Phoebe's stepfather.	average	---	(1, 1)	---	relations	Duncan_71
158	Duncan	105	1	I	I am the ex-stepson-in-law of Phoebe's stepfather.	Duncan	105	(0, 0)	---	relations	Duncan_71
159	Duncan	105	1	person	This person is the ex-grandson-in-law of Frances.	average	---	(1, 1)	---	relations	Duncan_72
160	Duncan	105	1	I	I am the ex-grandson-in-law of Frances.	Duncan	105	(0, 0)	---	relations	Duncan_72
161	Duncan	105	1	person	This person is a ice dancer.	average	---	(1, 1)	---	attributes	Duncan_73
162	Duncan	105	1	I	I am a ice dancer.	Duncan	105	(0, 0)	---	attributes	Duncan_73
163	Duncan	105	1	person	This person is the ex-husband of Phoebe Buffay.	average	---	(1, 1)	---	relations	Duncan_74
164	Duncan	105	1	I	I am the ex-husband of Phoebe Buffay.	Duncan	105	(0, 0)	---	relations	Duncan_74
165	Lily Buffay	210	1	person	This person is the wife, deseased of Phoebe's stepfather.	average	---	(1, 1)	---	relations	Lily_Buffay_75
166	Lily Buffay	210	1	I	I am the wife, deseased of Phoebe's stepfather.	Lily Buffay	210	(0, 0)	---	relations	Lily_Buffay_75
167	Lily Buffay	210	1	person	This person is the adoptive mother of Phoebe Buffay.	average	---	(1, 1)	---	relations	Lily_Buffay_76
168	Lily Buffay	210	1	I	I am the adoptive mother of Phoebe Buffay.	Lily Buffay	210	(0, 0)	---	relations	Lily_Buffay_76
169	Lily Buffay	210	1	person	This person is a drug dealer.	average	---	(1, 1)	---	attributes	Lily_Buffay_77
170	Lily Buffay	210	1	I	I am a drug dealer.	Lily Buffay	210	(0, 0)	---	attributes	Lily_Buffay_77
171	Lily Buffay	210	1	person	This person is the adoptive ex-mother-in-law of Duncan.	average	---	(1, 1)	---	relations	Lily_Buffay_78
172	Lily Buffay	210	1	I	I am the adoptive ex-mother-in-law of Duncan.	Lily Buffay	210	(0, 0)	---	relations	Lily_Buffay_78
173	Lily Buffay	210	1	person	This person is the daughter of Frances.	average	---	(1, 1)	---	relations	Lily_Buffay_79
174	Lily Buffay	210	1	I	I am the daughter of Frances.	Lily Buffay	210	(0, 0)	---	relations	Lily_Buffay_79
175	Frances	144	1	person	This person is the adoptive grandmother of Phoebe Buffay.	average	---	(1, 1)	---	relations	Frances_80
176	Frances	144	1	I	I am the adoptive grandmother of Phoebe Buffay.	Frances	144	(0, 0)	---	relations	Frances_80
177	Frances	144	1	person	This person is a cabdriver.	average	---	(1, 1)	---	attributes	Frances_81
178	Frances	144	1	I	I am a cabdriver.	Frances	144	(0, 0)	---	attributes	Frances_81
179	Frances	144	1	person	This person is the adoptive ex-grandmother-in-law of Duncan.	average	---	(1, 1)	---	relations	Frances_82
180	Frances	144	1	I	I am the adoptive ex-grandmother-in-law of Duncan.	Frances	144	(0, 0)	---	relations	Frances_82
181	Frances	144	1	person	This person is the mother-in-law of Phoebe's stepfather.	average	---	(1, 1)	---	relations	Frances_83
182	Frances	144	1	I	I am the mother-in-law of Phoebe's stepfather.	Frances	144	(0, 0)	---	relations	Frances_83
183	Frances	144	1	person	This person is the mother of Lily Buffay.	average	---	(1, 1)	---	relations	Frances_84
184	Frances	144	1	I	I am the mother of Lily Buffay.	Frances	144	(0, 0)	---	relations	Frances_84
185	Nora Tyler Bing	268	1	person	This person is a novelist.	average	---	(1, 1)	---	attributes	Nora_Tyler_Bing_85
186	Nora Tyler Bing	268	1	I	I am a novelist.	Nora Tyler Bing	268	(0, 0)	---	attributes	Nora_Tyler_Bing_85
187	Nora Tyler Bing	268	1	person	This person is the ex-wife of Charles Bing.	average	---	(1, 1)	---	relations	Nora_Tyler_Bing_86
188	Nora Tyler Bing	268	1	I	I am the ex-wife of Charles Bing.	Nora Tyler Bing	268	(0, 0)	---	relations	Nora_Tyler_Bing_86
189	Nora Tyler Bing	268	1	person	This person is the ex-wife of Charles Bing.	average	---	(1, 1)	---	relations	Nora_Tyler_Bing_87
190	Nora Tyler Bing	268	1	I	I am the ex-wife of Charles Bing.	Nora Tyler Bing	268	(0, 0)	---	relations	Nora_Tyler_Bing_87
191	Nora Tyler Bing	268	1	person	This person is the mother-in-law of Monica Geller-Bing.	average	---	(1, 1)	---	relations	Nora_Tyler_Bing_88
192	Nora Tyler Bing	268	1	I	I am the mother-in-law of Monica Geller-Bing.	Nora Tyler Bing	268	(0, 0)	---	relations	Nora_Tyler_Bing_88
193	Nora Tyler Bing	268	1	person	This person is the mother of Chandler Bing.	average	---	(1, 1)	---	relations	Nora_Tyler_Bing_89
194	Nora Tyler Bing	268	1	I	I am the mother of Chandler Bing.	Nora Tyler Bing	268	(0, 0)	---	relations	Nora_Tyler_Bing_89
195	Nina Bookbinder	280	1	person	This person is a corporate employee.	average	---	(1, 1)	---	attributes	Nina_Bookbinder_90
196	Nina Bookbinder	280	1	I	I am a corporate employee.	Nina Bookbinder	280	(0, 0)	---	attributes	Nina_Bookbinder_90
197	Mr. Treeger	264	1	person	This person is a building superintendent.	average	---	(1, 1)	---	attributes	Mr._Treeger_91
198	Mr. Treeger	264	1	I	I am a building superintendent.	Mr. Treeger	264	(0, 0)	---	attributes	Mr._Treeger_91
199	Mr. Heckles	258	1	person	This person is a retired.	average	---	(1, 1)	---	attributes	Mr._Heckles_92
200	Mr. Heckles	258	1	I	I am a retired.	Mr. Heckles	258	(0, 0)	---	attributes	Mr._Heckles_92
201	Althea	250	1	person	This person is the maternal grandmother of Monica Geller-Bing.	average	---	(1, 1)	---	relations	Althea_93
202	Althea	250	1	I	I am the maternal grandmother of Monica Geller-Bing.	Althea	250	(0, 0)	---	relations	Althea_93
203	Althea	250	1	person	This person is the maternal grandmother of Ross Geller.	average	---	(1, 1)	---	relations	Althea_94
204	Althea	250	1	I	I am the maternal grandmother of Ross Geller.	Althea	250	(0, 0)	---	relations	Althea_94
205	Althea	250	1	person	This person is the mother-in-law of Jack Geller.	average	---	(1, 1)	---	relations	Althea_95
206	Althea	250	1	I	I am the mother-in-law of Jack Geller.	Althea	250	(0, 0)	---	relations	Althea_95
207	Althea	250	1	person	This person is the paternal great-grandmother of Ben Geller.	average	---	(1, 1)	---	relations	Althea_96
208	Althea	250	1	I	I am the paternal great-grandmother of Ben Geller.	Althea	250	(0, 0)	---	relations	Althea_96
209	Althea	250	1	person	This person is the mother of Aunt Lillian.	average	---	(1, 1)	---	relations	Althea_97
210	Althea	250	1	I	I am the mother of Aunt Lillian.	Althea	250	(0, 0)	---	relations	Althea_97
211	Althea	250	1	person	This person is the mother of Judy Geller.	average	---	(1, 1)	---	relations	Althea_98
212	Althea	250	1	I	I am the mother of Judy Geller.	Althea	250	(0, 0)	---	relations	Althea_98
213	Chandler Bing	59	1	person	This person is the husband of Monica Geller-Bing.	average	---	(1, 1)	---	relations	Chandler_Bing_99
214	Chandler Bing	59	1	I	I am the husband of Monica Geller-Bing.	Chandler Bing	59	(0, 0)	---	relations	Chandler_Bing_99
215	Chandler Bing	59	1	person	This person is the former roommate of Kip.	average	---	(1, 1)	---	relations	Chandler_Bing_100
216	Chandler Bing	59	1	I	I am the former roommate of Kip.	Chandler Bing	59	(0, 0)	---	relations	Chandler_Bing_100
217	Chandler Bing	59	1	person	This person is the ex-boyfriend of Susie Moss.	average	---	(1, 1)	---	relations	Chandler_Bing_101
218	Chandler Bing	59	1	I	I am the ex-boyfriend of Susie Moss.	Chandler Bing	59	(0, 0)	---	relations	Chandler_Bing_101
219	Chandler Bing	59	1	person	This person is the ex-boyfriend of Nina Bookbinder.	average	---	(1, 1)	---	relations	Chandler_Bing_102
220	Chandler Bing	59	1	I	I am the ex-boyfriend of Nina Bookbinder.	Chandler Bing	59	(0, 0)	---	relations	Chandler_Bing_102
221	Chandler Bing	59	1	person	This person is a manager.	average	---	(1, 1)	---	attributes	Chandler_Bing_103
222	Chandler Bing	59	1	I	I am a manager.	Chandler Bing	59	(0, 0)	---	attributes	Chandler_Bing_103
223	Chandler Bing	59	1	person	This person is the son of Nora Tyler Bing.	average	---	(1, 1)	---	relations	Chandler_Bing_104
224	Chandler Bing	59	1	I	I am the son of Nora Tyler Bing.	Chandler Bing	59	(0, 0)	---	relations	Chandler_Bing_104
225	Chandler Bing	59	1	person	This person is the son of Charles Bing.	average	---	(1, 1)	---	relations	Chandler_Bing_105
226	Chandler Bing	59	1	I	I am the son of Charles Bing.	Chandler Bing	59	(0, 0)	---	relations	Chandler_Bing_105
227	Chandler Bing	59	1	person	This person is the paternal uncle/godfather of Ben Geller.	average	---	(1, 1)	---	relations	Chandler_Bing_106
